編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLMJNHMFFAO78EA,16,.04,見其他登記事項,鋼筋混凝土造,89年4月17日,十四層,一層
RPPOMLMJNHMFFAO78EA,16,12.60,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPPOMLMJNHMFFAO78EA,16,34.30,住家用,鋼筋混凝土造,89年4月17日,十四層,十二層
RPPOMLMJNHMFFAO78EA,16,10.02,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPTNMLLKNHMFFAO88CA,27,314.97,見使用執照,鋼筋混凝土造,79年7月30日,十二層,十一層
RPTNMLLKNHMFFAO88CA,27,78.60,共有部分,鋼筋混凝土造,79年7月30日,十二層,
RPVPMLRKLHMFFAO07CA,1,19.71,共有部分,鋼筋混凝土造,104年12月24日,五層,
RPVPMLRKLHMFFAO07CA,1,50.10,見其他登記事項,鋼筋混凝土造,104年12月24日,五層,一層
SPVPMLRKLHMFFAO17CA,1,48.76,見其他登記事項,鋼筋混凝土造,104年12月24日,五層,一層
SPVPMLRKLHMFFAO17CA,1,19.43,共有部分,鋼筋混凝土造,104年12月24日,五層,
RPWNMLLKNHMFFAO56CA,25,41.68,住家用,鋼筋混凝土造,81年3月31日,七層,六層
RPWNMLLKNHMFFAO56CA,25,16.48,共有部分,鋼筋混凝土造,81年3月31日,000,
RPROMLMKMHMFFAO78CA,,99.88,住家用,加強磚造,,二層,一層 二層
RPVPMLRKMHMFFAO17CA,19,35.87,見其他登記事項,鋼筋混凝土造,87年1月8日,九層,五層
RPVPMLRKMHMFFAO17CA,19,8.13,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPVPMLRKMHMFFAO17CA,19,4.41,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPVPMLRKMHMFFAO17CA,19,31.44,見使用執照,鋼筋混凝土造,87年1月8日,九層,
RPUNMLRJMHMFFAO76CA,16,72.32,住家用,鋼筋混凝土造,90年5月15日,五層,三層
RPUNMLRJMHMFFAO76CA,16,.08,見其他登記事項,鋼筋混凝土造,90年5月15日,五層,一層
RPUNMLRJMHMFFAO76CA,16,8.14,見其他登記事項,鋼筋混凝土造,90年5月15日,五層,
RPXPMLQJMHMFFAO17CA,5,78.15,見其他登記事項,鋼筋混凝土造,100年11月15日,七層,一層 騎樓
RPXPMLQJMHMFFAO17CA,5,8.16,共有部分,鋼筋混凝土造,100年11月15日,七層,
RPXPMLQJMHMFFAO17CA,5,16.10,共有部分,鋼筋混凝土造,100年11月15日,七層,
RPUOMLTKLHMFFAO07CA,3,87.41,見其他登記事項,鋼筋混凝土造,102年12月11日,十五層,三層
RPUOMLTKLHMFFAO07CA,3,.02,見其他登記事項,鋼筋混凝土造,102年12月11日,十五層,一層
RPUOMLTKLHMFFAO07CA,3,.00,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUOMLTKLHMFFAO07CA,3,27.25,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUOMLTKLHMFFAO07CA,3,18.79,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUOMLTKLHMFFAO07CA,3,21.72,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPQNMLKLLHMFFAO38CA,6,253.96,見其他登記事項,鋼筋混凝土造,100年1月24日,四層,一層 二層 三層 四層
RPXNMLKLLHMFFAO09CA,8,24.01,辦公室,鋼筋混凝土造,97年11月8日,十一層,六層
RPXNMLKLLHMFFAO09CA,8,4.85,見其他登記事項,鋼筋混凝土造,97年11月8日,十一層,
RPXNMLKLLHMFFAO09CA,8,6.86,見其他登記事項,鋼筋混凝土造,97年11月8日,十一層,
RPSNMLKLLHMFFAO58CA,19,31.99,住家用,鋼筋混凝土造,87年4月30日,十層,九層
RPSNMLKLLHMFFAO58CA,19,12.51,共有部分,鋼筋混凝土造,87年4月30日,十層,
RPSNMLKLLHMFFAO58CA,19,31.58,住家用,鋼筋混凝土造,87年4月30日,十層,九層
RPSNMLKLLHMFFAO58CA,19,12.37,共有部分,鋼筋混凝土造,87年4月30日,十層,
RPSNMLKLLHMFFAO58CA,19,36.42,住家用,鋼筋混凝土造,87年4月30日,十層,九層
RPSNMLKLLHMFFAO58CA,19,12.37,共有部分,鋼筋混凝土造,87年4月30日,十層,
RPOPMLKLLHMFFAO38CA,21,74.70,住家用,鋼筋混凝土造,85年1月31日,十五層,三層
RPOPMLKLLHMFFAO38CA,21,15.65,共有部分,鋼筋混凝土造,85年1月31日,十五層,
RPRNMLLLLHMFFAO58CA,,98.00,住家用,加強磚造,,二層,一層 二層
RPTNMLLLLHMFFAO78CA,13,95.73,住家用,鋼筋混凝土造,92年11月21日,十層,三層
RPTNMLLLLHMFFAO78CA,13,5.31,見其他登記事項,鋼筋混凝土造,92年11月21日,十層,
RPTNMLLLLHMFFAO78CA,13,73.05,見其他登記事項,鋼筋混凝土造,92年11月21日,十層,
RPTNMLLLLHMFFAO78CA,13,22.75,見其他登記事項,鋼筋混凝土造,92年11月21日,十層,
RPPNMLMLLHMFFAO48CA,40,83.25,住家用,加強磚造,65年8月18日,二層,一層 二層
RPQNMLMLLHMFFAO58CA,9,112.44,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,二十六層
RPQNMLMLLHMFFAO58CA,9,.34,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,二層
RPQNMLMLLHMFFAO58CA,9,.00,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPQNMLMLLHMFFAO58CA,9,3.35,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPQNMLMLLHMFFAO58CA,9,5.88,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,一層 二層 三層 四層 騎樓
RPQNMLMLLHMFFAO58CA,9,60.89,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPQNMLMLLHMFFAO58CA,9,20.04,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPVNMLMLLHMFFAO09CA,27,245.14,,鋼筋混凝土造,79年4月7日,二層,一層 二層 地下層
RPXNMLMLLHMFFAO66CA,9,163.16,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,四層
RPXNMLMLLHMFFAO66CA,9,76.06,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPXNMLMLLHMFFAO66CA,9,.50,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,二層
RPXNMLMLLHMFFAO66CA,9,28.09,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPXNMLMLLHMFFAO66CA,9,.00,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPXNMLMLLHMFFAO66CA,9,8.51,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,一層 二層 三層 四層 騎樓
RPXNMLMLLHMFFAO66CA,9,4.85,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPSOMLRKLHMFFAO66CA,23,73.19,住家用,鋼筋混凝土造,82年10月19日,七層,六層
RPSOMLRKLHMFFAO66CA,23,7.05,共有部分,鋼筋混凝土造,82年10月19日,七層,
RPSOMLRKLHMFFAO66CA,23,11.25,共有部分,鋼筋混凝土造,82年10月19日,七層,
RPPOMLNLLHMFFAO68CA,32,80.62,住家用,鋼筋混凝土造,73年9月12日,五層,三層
RPPOMLNLLHMFFAO68CA,32,8.62,共有部分,鋼筋混凝土造,73年9月12日,五層,
RPTNMLOLLHMFFAO09CA,10,.01,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,一層
RPTNMLOLLHMFFAO09CA,10,117.56,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,四層
RPTNMLOLLHMFFAO09CA,10,24.98,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPTNMLOLLHMFFAO09CA,10,16.52,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPTNMLOLLHMFFAO09CA,10,43.35,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPUNMLQLLHMFFAO76CA,21,97.70,住家用,鋼筋混凝土造,84年10月30日,七層,四層
RPUNMLQLLHMFFAO76CA,21,29.30,共有部分,鋼筋混凝土造,84年10月30日,七層,
RPUNMLQLLHMFFAO76CA,21,16.13,共有部分,鋼筋混凝土造,84年10月30日,七層,
RPSOMLRLLHMFFAO76CA,18,137.87,住家用,鋼筋混凝土造,87年7月18日,二十層,十九層
RPSOMLRLLHMFFAO76CA,18,39.57,見其他登記事項,鋼筋混凝土造,87年7月18日,二十二層,
RPSOMLRLLHMFFAO76CA,18,80.77,見其他登記事項,鋼筋混凝土造,87年7月18日,二十二層,
RPSOMLRLLHMFFAO76CA,19,2.26,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層 地下一層 地下二層 地下三層
RPSOMLRLLHMFFAO76CA,19,.46,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層
RPPQMLTLLHMFFAO86CA,1,222.46,見其他登記事項,鋼筋混凝土造,105年1月4日,十二層,十層
RPPQMLTLLHMFFAO86CA,1,49.08,共有部分,鋼筋混凝土造,105年1月4日,十二層,
RPPQMLTLLHMFFAO86CA,1,47.04,共有部分,鋼筋混凝土造,105年1月4日,十二層,
RPPQMLTLLHMFFAO86CA,1,.09,見其他登記事項,鋼筋混凝土造,105年1月4日,十層,一層
RPPQMLTLLHMFFAO86CA,1,.03,共有部分,鋼筋混凝土造,105年1月4日,十層,
RPPQMLTLLHMFFAO86CA,1,83.86,共有部分,鋼筋混凝土造,105年1月4日,十二層,
RPQQMLTLLHMFFAO96CA,1,.04,見其他登記事項,鋼筋混凝土造,105年1月4日,十層,一層
RPQQMLTLLHMFFAO96CA,1,.01,共有部分,鋼筋混凝土造,105年1月4日,十層,
RPQQMLTLLHMFFAO96CA,1,40.41,共有部分,鋼筋混凝土造,105年1月4日,十二層,
RPOQMLNLLHMFFAO78CA,12,30.98,見其他登記事項,鋼筋混凝土造,94年2月20日,四層,二層
RPOQMLNLLHMFFAO78CA,12,1.53,見其他登記事項,鋼筋混凝土造,94年2月20日,四層,地下一層
RPOQMLNLLHMFFAO78CA,12,35.94,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPOQMLNLLHMFFAO78CA,12,10.36,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPOQMLNLLHMFFAO78CA,12,.48,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPWPMLOLLHMFFAO96CA,26,10.63,住家用,鋼筋混凝土造,80年3月28日,五層,四層
RPWPMLOLLHMFFAO96CA,26,1.47,共有部分,鋼筋混凝土造,80年3月28日,五層,
RPWPMLOLLHMFFAO96CA,26,3.67,共有部分,鋼筋混凝土造,80年3月28日,五層,
