鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹市公道五路二段91~120號,0.0,工,,,1051109,土地0建物4車位0,見其他登記事項,16,廠辦,見其他登記事項,見其他登記事項,0990607,1152.95,0,0,0,無,有,無,435963,378,,0.0,0,,RPXQMLTJKILFFAO57CC
新竹市,建物,新竹市新竹市埔前路271~300號,0.0,工,,,1051128,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0980325,334.1,2,1,2,有,無,無,47000,141,,0.0,0,,RPTOMLOKKILFFAO56CC
新竹市,建物,新竹市新竹市中華路六段335巷31~60號,0.0,,山坡地保育區,丙種建築用地,1051209,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1041130,308.54,4,2,3,有,有,無,19000,62,,0.0,0,,RPOOMLOLKILFFAO78CC
新竹市,建物,新竹市新竹市力行六路1~30號,0.0,其他,,,1051117,土地0建物0車位0,見其他登記事項,10,廠辦,見其他登記事項,鋼筋混凝土造,0930305,7017.1,0,0,0,無,無,無,2423962,345,,0.0,0,租賃層次:3樓.5樓.6樓.7樓.8樓170個坡道平面車位,RPXNMLQLKILFFAO17CC
新竹市,建物,新竹市新竹市西大路780巷13弄1~30號,0.0,住,,,1051214,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,95.85,5,2,3,有,無,有,15000,156,,0.0,0,,RPUOMLLKJHMFFAO88CC
新竹市,房地(土地+建物),新竹市新竹市和福街1~30號,61.0,住,,,1060105,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0500401,91.82,0,0,0,無,無,無,50000,545,,0.0,0,,RPUOMLMKJHMFFAO98CC
新竹市,房地(土地+建物),新竹市新竹市食品路181~210號,82.0,商,,,1060210,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720506,242.61,5,3,3,有,無,無,50000,206,,0.0,0,,RPPNMLSKKHMFFAO66EC
新竹市,建物,新竹市新竹市明湖路1050巷361~390號,0.0,,山坡地保育區,丙種建築用地,1060205,土地0建物1車位1,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870826,119.91999999999999,2,2,1,有,無,有,11000,92,坡道平面,42.5,0,租金含管理費500元及一個平面車位,RPOOMLLJLHMFFAO38CC
新竹市,房地(土地+建物),新竹市新竹市民富街178巷23弄1~30號,138.0,住,,,1060125,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0761023,214.35,4,3,3,有,無,無,25000,117,,0.0,0,,RPQPMLMJLHMFFAO78CC
新竹市,房地(土地+建物),新竹市新竹市明湖路57巷3弄1~30號,81.0,住,,,1060205,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0631220,88.92,4,2,2,有,無,無,17000,191,,0.0,0,,RPRPMLMJLHMFFAO88CC
新竹市,建物,新竹市新竹市香檳一街1~30號,0.0,,山坡地保育區,丙種建築用地,1060206,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,,94.5,4,2,2,有,無,無,13000,138,,0.0,0,,RPRNMLOJLHMFFAO88CC
新竹市,建物,新竹市新竹市長和街31~60號,0.0,商,,,1060213,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0561212,160.11,5,2,2,有,無,無,13500,84,,0.0,0,,RPSNMLOJLHMFFAO98CC
新竹市,建物,新竹市新竹市明湖路72巷2弄1~30號,0.0,住,,,1060301,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0591128,108.1,2,1,2,有,無,無,16000,148,,0.0,0,,RPQUNLRJLHMFFAO27CC
新竹市,建物,新竹市新竹市延平路二段361~390號,0.0,,鄉村區,乙種建築用地,1060216,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0830704,112.06,2,1,2,有,無,無,13000,116,,0.0,0,,RPWPMLSJLHMFFAO37CC
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路181~210號,37.87,住,,,1060228,土地1建物1車位1,見其他登記事項,21,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990723,242.21,0,0,0,無,有,無,84000,347,坡道平面,45.55,0,承租樓層為地上1F-2F及地下1F,RPXNMLNKLHMFFAO86CC
新竹市,建物,新竹市新竹市中華路六段459巷6弄1~30號,0.0,,山坡地保育區,丙種建築用地,1060226,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,149.18,2,1,2,有,無,無,10000,67,,0.0,0,,RPWOMLPKLHMFFAO07CC
新竹市,建物,新竹市新竹市關新路181~210號,0.0,住,,,1060225,土地0建物1車位0,二十四層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001121,196.52,4,2,2,有,有,有,42000,214,,0.0,0,,RPSOMLQKLHMFFAO76CC
新竹市,建物,新竹市新竹市中華路五段31~60號,0.0,商,,,1060219,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831013,60.620000000000005,2,2,1,有,有,無,9000,148,,0.0,0,租金含管理費500元,RPQPMLRKLHMFFAO76CC
新竹市,建物,新竹市新竹市愛文街91~120號,0.0,商,,,1060219,土地0建物1車位0,九層,10,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970513,34.2,1,1,1,有,有,有,10000,292,,0.0,0,租金含管理費1000元,RPRPMLRKLHMFFAO86CC
新竹市,房地(土地+建物),新竹市新竹市高峰路412巷31~60號,73.63,其他,,,1060221,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680105,111.6,3,2,2,有,無,無,11000,99,,0.0,0,,RPSPMLRKLHMFFAO96CC
新竹市,建物,新竹市新竹市中華路二段170巷31~60號,0.0,住,,,1060221,土地0建物1車位0,三層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951115,30.41,1,0,1,有,有,有,7000,230,,0.0,0,租金含管理費500元,RPTPMLRKLHMFFAO07CC
新竹市,建物,新竹市新竹市培英街31~60號,0.0,住,,,1060228,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740626,75.5,3,2,1,有,無,有,11000,146,,0.0,0,,RPUPMLRKLHMFFAO17CC
新竹市,建物,新竹市新竹市中央路151~180號,0.0,住,,,1060305,土地0建物1車位0,十層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961101,144.91,3,2,2,有,有,有,35000,242,,0.0,0,租金含管理費。,RPTOMLMLLHMFFAO56CC
新竹市,建物,新竹市新竹市慈雲路121~150號,0.0,商,,,1060222,土地0建物1車位2,八層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,225.93,4,2,2,有,有,無,26000,115,坡道平面,0.0,0,,RPPOMLMLLHMFFAO88DC
新竹市,建物,新竹市新竹市關新路19巷31~60號,19.57,其他,,,1060315,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,147.64,3,2,2,有,有,有,25000,169,坡道平面,26.54,0,,RPOPMLNLLHMFFAO98DC
新竹市,建物,新竹市新竹市八德路19巷1~30號,0.0,其他,,,1060320,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050720,138.64,2,2,1,有,有,有,30000,216,坡道平面,34.59,0,,RPUOMLRLLHMFFAO17CC
新竹市,房地(土地+建物)+車位,新竹市新竹市東光路31~60號,24.25,商,,,1060321,土地1建物1車位2,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010625,196.61,0,0,0,無,有,有,20000,102,坡道平面,0.0,0,承租1樓和2樓,RPWOMLRLLHMFFAO37CC
新竹市,建物,新竹市新竹市慈雲路61~90號,0.0,商,,,1060301,土地0建物1車位0,一層,27,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031117,163.4,0,0,0,無,無,無,62436,382,,0.0,0,租金費用含代扣所得稅與二代健保費用,RPVNMLKMLHMFFAO56CC
新竹市,建物,新竹市新竹市東門街34巷1~30號,0.0,商,,,1060301,土地0建物1車位1,十六層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,181.53,3,2,2,有,有,有,50000,275,坡道平面,0.0,0,,RPPPMLKMLHMFFAO78CC
新竹市,建物,新竹市新竹市中華路二段312巷1~30號,0.0,商,,,1060311,土地0建物0車位0,二層,3,套房(1房1廳1衛),見其他登記事項,見其他登記事項,,24.07,1,1,1,有,無,有,6200,258,,0.0,0,,RPSNMLLMLHMFFAO98CC
新竹市,建物,新竹市新竹市南大路691~720號,0.0,住,,,1060306,土地0建物0車位0,地下層,3,套房(1房1廳1衛),住商用,鋼筋混凝土造,0691117,20.87,1,1,1,有,無,有,7000,335,,0.0,0,,RPUNMLLMLHMFFAO56CC
新竹市,房地(土地+建物),新竹市新竹市高峰路413巷1~30號,89.84,住,,,1060302,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0680126,64.46,6,3,4,有,無,有,24000,372,,0.0,0,,RPROMLLMLHMFFAO98CC
新竹市,建物,新竹市新竹市牛埔路33巷1~30號,0.0,住,,,1060304,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831118,126.53999999999999,3,2,2,有,有,無,11000,87,,0.0,0,租金含管理費1000元,RPSOMLLMLHMFFAO09CC
