編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLTJKILFFAO57CC,6,230.71,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,72.29,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,5.93,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,57.08,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.03,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.59,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.40,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.30,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.98,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.88,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.42,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.53,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.98,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.88,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.42,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.53,共有部分,見其他登記事項,99年6月7日,十六層,
RPTOMLOKKILFFAO56CC,8,334.10,見其他登記事項,鋼筋混凝土造,98年3月25日,二層,
RPOOMLOLKILFFAO78CC,1,308.54,見其他登記事項,鋼筋混凝土造,104年11月30日,四層,
RPXNMLQLKILFFAO17CC,13,3450.24,見其他登記事項,鋼筋混凝土造,93年3月5日,十層,
RPXNMLQLKILFFAO17CC,13,3566.86,見其他登記事項,鋼筋混凝土造,93年3月5日,十層,
RPUOMLLKJHMFFAO88CC,,95.85,住家用,加強磚造,,二層,
RPUOMLMKJHMFFAO98CC,56,91.82,住家用,加強磚造,50年4月1日,二層,
RPPNMLSKKHMFFAO66EC,34,242.61,住商用,鋼筋混凝土造,72年5月6日,四層,
RPOOMLLJLHMFFAO38CC,18,68.02,住家用,鋼筋混凝土造,87年8月26日,五層,
RPOOMLLJLHMFFAO38CC,20,42.50,共有部分,鋼筋混凝土造,86年5月15日,五層,
RPOOMLLJLHMFFAO38CC,18,9.40,共有部分,鋼筋混凝土造,87年8月26日,五層,
RPQPMLMJLHMFFAO78CC,29,214.35,住家用,鋼筋混凝土造,76年10月23日,二層,
RPRPMLMJLHMFFAO88CC,42,88.92,住家用,加強磚造,63年12月20日,二層,
RPRNMLOJLHMFFAO88CC,,94.50,住家用,加強磚造,,一層,
RPSNMLOJLHMFFAO98CC,49,160.11,住家用,加強磚造,56年12月12日,三層,
RPQUNLRJLHMFFAO27CC,46,108.10,住家用,加強磚造,59年11月28日,二層,
RPWPMLSJLHMFFAO37CC,23,112.06,見其他登記事項,鋼筋混凝土造,83年7月4日,二層,
RPXNMLNKLHMFFAO86CC,7,193.81,見其他登記事項,鋼筋混凝土造,99年7月23日,二十一層,
RPXNMLNKLHMFFAO86CC,7,48.40,共有部分,鋼筋混凝土造,99年7月23日,二十一層,
RPWOMLPKLHMFFAO07CC,,149.18,住家用,加強磚造,,二層,
RPSOMLQKLHMFFAO76CC,5,137.18,見其他登記事項,鋼筋混凝土造,100年11月21日,二十四層,
RPSOMLQKLHMFFAO76CC,5,23.78,共有部分,鋼筋混凝土造,100年11月21日,二十四層,
RPSOMLQKLHMFFAO76CC,5,35.56,共有部分,鋼筋混凝土造,100年11月21日,二十四層,
RPQPMLRKLHMFFAO76CC,22,50.39,住家用,鋼筋混凝土造,83年10月13日,十二層,
RPQPMLRKLHMFFAO76CC,22,10.23,共有部分,鋼筋混凝土造,83年10月13日,十二層,
RPRPMLRKLHMFFAO86CC,9,20.51,辦公室,鋼筋混凝土造,97年5月13日,十層,
RPRPMLRKLHMFFAO86CC,9,8.66,見其他登記事項,鋼筋混凝土造,97年5月13日,十層,
RPRPMLRKLHMFFAO86CC,9,5.03,見其他登記事項,鋼筋混凝土造,97年5月13日,十層,
RPSPMLRKLHMFFAO96CC,38,111.60,住家用,加強磚造,68年1月5日,二層,
RPTPMLRKLHMFFAO07CC,10,21.39,見其他登記事項,鋼筋混凝土造,95年11月15日,六層,
RPTPMLRKLHMFFAO07CC,10,9.02,見其他登記事項,鋼筋混凝土造,95年11月15日,六層,
RPUPMLRKLHMFFAO17CC,32,63.31,住家用,鋼筋混凝土造,74年6月26日,五層,
RPUPMLRKLHMFFAO17CC,32,12.19,共有部分,鋼筋混凝土造,74年6月26日,五層,
RPTOMLMLLHMFFAO56CC,9,99.48,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTOMLMLLHMFFAO56CC,9,29.81,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPTOMLMLLHMFFAO56CC,9,15.62,見其他登記事項,鋼筋混凝土造,96年11月1日,二十九層,
RPPOMLMLLHMFFAO88DC,1,113.80,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,
RPPOMLMLLHMFFAO88DC,1,25.52,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPPOMLMLLHMFFAO88DC,1,28.04,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPPOMLMLLHMFFAO88DC,1,.04,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,
RPPOMLMLLHMFFAO88DC,1,58.53,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPOPMLNLLHMFFAO98DC,8,103.56,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPOPMLNLLHMFFAO98DC,8,18.48,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPOPMLNLLHMFFAO98DC,8,25.60,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPUOMLRLLHMFFAO17CC,1,20.06,共有部分,鋼筋混凝土造,105年7月20日,十四層,
RPUOMLRLLHMFFAO17CC,1,46.61,共有部分,鋼筋混凝土造,105年7月20日,十四層,
RPUOMLRLLHMFFAO17CC,1,71.97,見其他登記事項,鋼筋混凝土造,105年7月20日,十四層,
RPWOMLRLLHMFFAO37CC,5,106.39,見其他登記事項,鋼筋混凝土造,101年6月25日,十四層,
RPWOMLRLLHMFFAO37CC,5,81.78,共有部分,鋼筋混凝土造,101年6月25日,十四層,
RPWOMLRLLHMFFAO37CC,5,8.34,共有部分,鋼筋混凝土造,101年6月25日,十四層,
RPWOMLRLLHMFFAO37CC,5,.10,見其他登記事項,鋼筋混凝土造,101年6月25日,十四層,
RPVNMLKMLHMFFAO56CC,2,101.67,見其他登記事項,鋼筋混凝土造,103年11月17日,二十七層,
RPVNMLKMLHMFFAO56CC,2,13.60,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPVNMLKMLHMFFAO56CC,2,29.64,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPVNMLKMLHMFFAO56CC,2,.03,見其他登記事項,鋼筋混凝土造,103年11月17日,二十五層,
RPVNMLKMLHMFFAO56CC,2,.01,共有部分,鋼筋混凝土造,103年11月17日,二十五層,
RPVNMLKMLHMFFAO56CC,2,18.45,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPPPMLKMLHMFFAO78CC,4,104.83,見其他登記事項,鋼筋混凝土造,101年10月15日,二十五層,
RPPPMLKMLHMFFAO78CC,4,48.78,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPPPMLKMLHMFFAO78CC,4,27.92,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPSNMLLMLHMFFAO98CC,,24.07,見其他登記事項,見其他登記事項,,三層,
RPUNMLLMLHMFFAO56CC,36,20.87,住商用,鋼筋混凝土造,69年11月17日,三層,
RPROMLLMLHMFFAO98CC,38,64.46,住家用,加強磚造,68年1月26日,一層,
RPSOMLLMLHMFFAO09CC,22,94.74,住家用,鋼筋混凝土造,83年11月18日,五層,
RPSOMLLMLHMFFAO09CC,22,31.80,共有部分,鋼筋混凝土造,83年11月18日,五層,
