編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLOKKILFFCP98CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPRNMLOKKILFFCP98CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPQOMLMLKILFFEP56DA,15,3555.43,見其他登記事項,見其他登記事項,91年3月12日,一層,見其他登記事項
RPQNMLMKJHMFFDP68CA,1,202.70,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKJHMFFDP78CA,1,202.25,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLKILFFEP07CA,23,2221.14,見其他登記事項,見其他登記事項,82年8月10日,一層,見其他登記事項
RPRNMLNJJHMFFFP09DA,1,172.57,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,騎樓 見其他登記事項
RPXOMLTJJHMFFAP27DA,2,63.00,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPXOMLTJJHMFFAP27DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPXOMLTJJHMFFAP27DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,63.14,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,二層
RPOPMLTJJHMFFAP09DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPRNMLNKJHMFFEP09DA,15,5193.06,見其他登記事項,見其他登記事項,91年2月21日,一層,見其他登記事項
RPSNMLKLJHMFFFP56EA,1,163.53,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,騎樓 見其他登記事項
RPWOMLPLJHMFFAP86CA,2,159.60,見其他登記事項,鋼筋混凝土造,103年12月30日,三層,一層 二層 三層 屋頂突出物
RPWNMLMLKHMFFAP56CA,17,342.00,住家用,鋼筋混凝土造,89年7月7日,三層,一層 二層 三層
RPTNMLTJKHMFFFP37DA,1,183.38,見其他登記事項,鋼筋混凝土造,105年4月20日,三層,見其他登記事項
RPPNMLPKLHMFFCP98CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPPNMLPKLHMFFCP98CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPQNMLPKLHMFFCP09CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPQNMLPKLHMFFCP09CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPSNMLKKLHMFFAP68DA,2,74.96,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,二層
RPSNMLKKLHMFFAP68DA,2,7.33,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPSNMLKKLHMFFAP68DA,2,12.48,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPTNMLKKLHMFFAP78DA,2,74.96,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPTNMLKKLHMFFAP78DA,2,7.33,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPTNMLKKLHMFFAP78DA,2,12.48,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPSNMLRJMHMFFDP96CA,,154.28,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPRNMLRLLHMFFDP96CA,1,205.21,住家用,見其他登記事項,105年5月31日,三層,一層 二層 三層
RPPNMLLLLHMFFDP78CA,23,65.63,住家用,鋼筋混凝土造,83年4月9日,八層,四層
RPPNMLLLLHMFFDP78CA,23,29.16,共有部份,鋼筋混凝土造,83年4月9日,八層,
RPPNMLRKLHMFFAP98CA,22,157.74,住商用,鋼筋混凝土造,84年5月30日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQOMLKLLHMFFAP58CA,2,221.98,見其他登記事項,鋼筋混凝土造,104年1月6日,三層,一層 二層 三層 屋頂突出物
RPSNMLLLLHMFFFP86EA,1,154.29,見其他登記事項,鋼筋混凝土造,104年9月13日,三層,見其他登記事項
