¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥Á¶¯¶m,«Øª«,¹Å¸q¿¤¥Á¶¯¶m¤å¶©§øÀn¥À?1~30¸¹,0.0,,,,1050920,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1050729,193.86,5,1,5,¦³,µL,3380000,17435,,0.0,0,,RPVNMLNLKILFFCQ86CA
¥Á¶¯¶m,«Øª«,¹Å¸q¿¤¥Á¶¯¶m¤å¶©§øÀn¥À?1~30¸¹,0.0,,,,1051208,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1050729,180.87,6,1,6,¦³,µL,3200000,17692,,0.0,0,,RPVNMLSLKILFFCQ37CA
¤ô¤W¶m,¤g¦a,¥_¦^¬q61~90¦a¸¹,333.31,¦í,,,1051130,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11590000,34772,,0.0,0,,RPVNMLNLJHMFFDQ86CA
³À¯ó¶m,¤g¦a,°¨¸Y«á¬qÂ×¸Y¤p¬q91~120¦a¸¹,35868.0,,¤u·~°Ï,¤BºØ«Ø¿v¥Î¦a,1051202,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,352094635,9816,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPUNMLNLJHMFFDQ76CA
¥¬³UÂí,«Øª«,¹Å¸q¿¤¥¬³UÂí´_¿³¨½22¾F·s¶ó121~150¸¹,0.0,,,,1060103,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0850701,303.4,6,2,7,¦³,µL,2176000,7172,,0.0,0,,RPWNMLNLJHMFFBQ86DA
·s´ä¶m,«Øª«,¹Å¸q¿¤·s´ä¶m¤¤¥¿¸ô121~150¸¹,0.0,,,,1051229,¤g¦a0«Øª«2¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0670315,177.17,6,4,4,¦³,µL,500000,2822,,0.0,0,,RPSNMLPKKHMFFCQ86EA
¤jªLÂí,¤g¦a,¤T¨¤¬q¤T¨¤¤p¬q1~30¦a¸¹,4641.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5000000,1077,,0.0,0,,RPRNMLMJLHMFFCQ09EA
¤jªLÂí,¤g¦a,·¾­I¬q·¾­I¤p¬q361~390¦a¸¹,2541.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060215,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3811000,1500,,0.0,0,,RPQNMLKLLHMFFCQ98EA
¦Ë±T¶m,¤g¦a,¤½À]¬q451~480¦a¸¹,311.5,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1060306,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,190000,610,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPRNMLQJMHMFFEQ96CA
¥Á¶¯¶m,¤g¦a,¤j±T¬q1891~1920¦a¸¹,47.86,,¤@¯ë¹A·~°Ï,¤ô§Q¥Î¦a,1060301,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,47381,990,,0.0,0,,RPPNMLLLLHMFFCQ88DA
