編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNLKILFFCQ86CA,,193.86,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPVNMLSLKILFFCQ37CA,,180.87,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPWNMLNLJHMFFBQ86DA,21,303.40,住家用,鋼筋混凝土加強磚造,85年7月1日,四層,一層 二層 三層 四層
RPSNMLPKKHMFFCQ86EA,39,90.87,住家用,鋼筋混凝土加強磚造,67年3月15日,二層,一層 二層 電梯樓梯間
RPSNMLPKKHMFFCQ86EA,38,86.30,住家用,鋼筋混凝土加強磚造,67年11月21日,二層,一層 二層
RPWNMLRLLHMFFCQ57DA,3,2035.20,見其他登記事項,見其他登記事項,103年6月10日,一層,一層
RPSNMLQJMHMFFDQ07DA,1,182.71,住家用,鋼筋混凝土造,105年7月18日,三層,一層 二層 三層 見其他登記事項
RPQNMLKKMHMFFDQ88CA,40,69.15,住商用,鋼筋混凝土加強磚造,65年8月15日,二層,一層 二層
RPSNMLRKLHMFFDQ07CA,1,136.29,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPUNMLRKLHMFFDQ27CA,,142.07,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPQNMLKLLHMFFDQ88CA,25,29.33,住家用,加強磚造,81年1月27日,二層,一層 二層
RPQNMLKLLHMFFDQ88CA,25,29.33,住家用,加強磚造,81年1月27日,二層,一層 二層
RPQNMLKLLHMFFDQ88CA,25,29.33,住家用,加強磚造,81年1月27日,二層,一層 二層
RPRNMLQKLHMFFCQ76CA,1,213.48,見其他登記事項,鋼筋混凝土造,104年11月13日,四層,一層 二層 三層 四層
RPQNMLLLLHMFFBQ78CA,27,131.85,住商用,鋼筋混凝土造,79年2月12日,三層,一層 二層 三層 騎樓
RPPNMLNLLHMFFCQ98CA,25,157.77,住家用,鋼筋混凝土造,81年6月30日,三層,一層 二層 三層 電梯樓梯間
RPQOMLSLLHMFFCQ07CA,1,187.13,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPROMLSLLHMFFCQ17CA,1,183.21,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPSOMLSLLHMFFCQ27CA,1,180.29,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPWOMLSLLHMFFCQ67CA,1,192.19,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPTPMLSLLHMFFCQ47CA,1,192.22,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPQNMLKMLHMFFCQ88CA,,190.67,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPRNMLKMLHMFFCQ98CA,,235.49,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPSNMLKMLHMFFCQ09CA,,188.69,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPRNMLOLLHMFFCQ66CA,11,186.16,見其他登記事項,鋼筋混凝土造,94年11月25日,四層,一層 二層 三層 四層
RPVNMLKLLHMFFBQ56CA,30,118.33,住家用,鋼筋混凝土加強磚造,76年2月15日,二層,一層 二層 騎樓
RPRNMLLLLHMFFCQ98CA,22,254.65,住商用,鋼筋混凝土造,83年10月28日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPTNMLKLLHMFFDQ66DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPSNMLKLLHMFFBQ98DA,1,242.36,見其他登記事項,鋼筋混凝土造,105年8月4日,三層,一層 二層 三層
RPPNMLPJMHMFFEQ66CA,22,115.16,住家用,鋼筋混凝土造,84年8月17日,二層,一層 二層
RPPNMLNLLHMFFEQ56CA,22,170.06,住家用,鋼筋混凝土造,84年3月8日,四層,一層 二層 三層 四層
RPOPMLSLLHMFFCQ96CA,1,249.31,住家用,鋼筋混凝土造,105年8月10日,四層,一層 二層 三層 四層
RPQPMLSLLHMFFCQ17CA,1,195.38,見其他登記事項,鋼筋混凝土造,105年8月10日,三層,一層 二層 三層 見其他登記事項
RPPNMLSLLHMFFCQ86CA,45,54.90,住家用,磚造,61年8月15日,一層,一層
RPTNMLLLLHMFFDQ66CA,36,161.52,住商用,鋼筋混凝土加強磚造,69年8月13日,三層,一層 二層 三層 騎樓
RPUNMLMLLHMFFDQ86CA,36,106.37,住商用,鋼筋混凝土加強磚造,70年5月4日,二層,一層 二層 騎樓
RPTNMLKKMHMFFDQ56CA,,155.74,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPUNMLKKMHMFFDQ66CA,,183.92,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPQNMLSJMHMFFCQ86CA,24,126.95,住家用,鋼筋混凝土造,82年5月10日,三層,一層 二層 三層 電梯樓梯間
RPRNMLSJMHMFFCQ96CA,39,91.20,住家用,鋼筋混凝土加強磚造,66年9月1日,二層,一層 二層 騎樓
RPPNMLMLLHMFFDQ98CA,38,83.48,住家用,鋼筋混凝土加強磚造,68年5月17日,二層,一層 二層
