╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
и╜┤ф╢m,л╪кл,л╠кF┐ди╜┤ф╢mйw╗╖╕Ї1~30╕╣,0.0,,,,1051124,дgжa0л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0811013,166.35,4,1,3,ж│,╡L,800000,4809,,0.0,0,,RPQNMLNKKILFFBT56DA
кD╝d╢m,л╪кл,л╠кF┐дкD╝d╢m└x╣B╕Ї91~120╕╣,0.0,,,,1051121,дgжa0л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050606,198.25,4,2,5,ж│,╡L,0,0,,0.0,0,,RPSNMLMKKILFFFT96CA
и╜┤ф╢m,л╪кл,л╠кF┐ди╜┤ф╢mйMен╕Ї101л╤1~30╕╣,0.0,,,,1051212,дgжa0л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050303,197.66,3,2,2,ж│,╡L,3560000,18011,,0.0,0,,RPQNMLOJJHMFFBT98CA
╕Uдж╢m,л╪кл,л╠кF┐д╕Uдж╢mе·й·╡є122л╤1~30╕╣,0.0,,,,1051203,дgжa0л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1041118,174.88,4,2,5,ж│,╡L,2600000,14867,,0.0,0,,RPROMLTJJHMFFAT96CA
л╠кF╔],л╪кл,л╠кF┐дл╠кFелкZл┬╡є129л╤1~30╕╣,0.0,,,,1051220,дgжa0л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1031009,201.91,5,2,4,ж│,╡L,4800000,23773,,0.0,0,,RPVOMLNKJHMFFAT86CA
и╜┤ф╢m,й╨жa(дgжa+л╪кл),л╠кF┐ди╜┤ф╢m╕№лn╕Ї1~30╕╣,4751.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1051112,дgжa1л╪кл1иожь0,игифеL╡n░Oи╞╢╡,д@╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0930713,3045.24,0,0,0,ж│,╡L,31000000,10180,,0.0,0,пbкк│]мI(д║зt╜▐к┘4┤╔бB║▐▓zл╟1╢ббB░як╬к┘1╢ббBн▄└x│]мI1╢ббB╝oдЇ│B▓z│]мI1╢ббBдЇ╢Ё1н╙),RPQNMLMKJHMFFBT88CA
д║оH╢m,л╪кл,л╠кF┐дд║оH╢mддкL╕Ї1141~1170╕╣,0.0,,,,1060123,дgжa0л╪кл1иожь0,д@╝hбA├M╝╙,д@╝h,дu╝t,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0630911,2314.89,0,0,0,╡L,╡L,4370000,,,0.0,0,,RPVNMLSJLHMFFCT57CA
л╠кF╔],л╪кл,л╠кF┐дл╠кFел▒R─їи╜╝sкF╕Ї991~1020╕╣,0.0,,,,1060118,дgжa0л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбAе|╝hбAл╬│╗мЁеXклбA├M╝╙,е|╝h,й▒н▒(й▒╛Q),жэ░╙е╬,┐√╡м▓V╛одg│y,1041224,293.19,7,1,5,ж│,╡L,11070000,37757,,0.0,0,,RPSPMLLJLHMFFAT56CA
и╜┤ф╢m,й╨жa(дgжa+л╪кл),л╠кF┐ди╜┤ф╢m╢Ё╝╙╕Ї1~30╕╣,2590.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1051209,дgжa2л╪кл1иожь0,д@╝hбAдG╝hбA├M╝╙,дG╝h,╣Aк┘,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0720121,410.97,7,2,3,ж│,╡L,13000000,,,0.0,0,,RPSNMLPJMHMFFBT96CA
╝щж{┬э,л╪кл,л╠кF┐д╝щж{┬э║aе╨╕Ї91~120╕╣,0.0,,,,1051225,дgжa0л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,е[▒j┐j│y,0650223,103.4,4,2,3,ж│,╡L,1800000,17408,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSOMLLMLHMFFCT96CA
