編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNKKILFFBT56DA,24,166.35,住家用,鋼筋混凝土造,81年10月13日,三層,一層 二層 三層
RPSNMLMKKILFFFT96CA,,198.25,住家用,鋼筋混凝土造,105年6月6日,三層,一層 二層 三層
RPQNMLOJJHMFFBT98CA,1,197.66,住家用,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層
RPROMLTJJHMFFAT96CA,1,174.88,住家用,鋼筋混凝土造,104年11月18日,二層,一層 二層 屋頂突出物
RPVOMLNKJHMFFAT86CA,2,201.91,住家用,鋼筋混凝土造,103年10月9日,三層,一層 二層 三層
RPQNMLMKJHMFFBT88CA,12,3045.24,見其他登記事項,見其他登記事項,93年7月13日,一層,見其他登記事項
RPVNMLSJLHMFFCT57CA,42,2314.89,見其他登記事項,見其他登記事項,63年9月11日,一層,一層 騎樓
RPSPMLLJLHMFFAT56CA,1,293.19,住商用,鋼筋混凝土造,104年12月24日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSNMLPJMHMFFBT96CA,34,410.97,見其他登記事項,見其他登記事項,72年1月21日,二層,一層 二層 騎樓
RPSOMLLMLHMFFCT96CA,41,103.40,住商用,加強磚造,65年2月23日,二層,一層 二層 騎樓
RPVNMLLLLHMFFBT96CA,13,3259.39,見其他登記事項,見其他登記事項,92年11月5日,一層,見其他登記事項
RPWNMLQKLHMFFCT57CA,41,93.98,住商用,鋼筋混凝土加強磚造,65年6月4日,二層,一層 二層 騎樓
RPQNMLKLLHMFFAT88CA,29,91.20,住家用,加強磚造,77年4月27日,二層,一層 二層
RPXNMLKLLHMFFAT96CA,21,52.07,住家用,鋼筋混凝土造,84年11月25日,十二層,三層
RPXNMLKLLHMFFAT96CA,21,15.56,見其他登記事項,鋼筋混凝土造,84年11月25日,十二層,
RPROMLKLLHMFFAT09CA,25,64.28,見其他登記事項,鋼筋混凝土造,81年2月13日,七層,七層
RPROMLKLLHMFFAT09CA,25,22.63,見其他登記事項,鋼筋混凝土造,81年2月13日,,
RPSOMLKLLHMFFAT56CA,23,61.57,住家用,鋼筋混凝土造,82年12月4日,十五層,十二層
RPSOMLKLLHMFFAT56CA,23,23.50,見其他登記事項,鋼筋混凝土造,82年12月4日,十五層,
RPUOMLLLLHMFFAT86CA,20,84.75,見其他登記事項,鋼筋混凝土造,86年1月13日,十三層,十一層
RPUOMLLLLHMFFAT86CA,20,31.65,見其他登記事項,鋼筋混凝土造,86年1月13日,十三層,
RPRPMLNLLHMFFAT86CA,35,82.21,國民住宅,鋼筋混凝土造,71年7月17日,五層,一層
RPRPMLNLLHMFFAT86CA,35,1452.96,國民住宅,鋼筋混凝土造,71年7月17日,,一層 二層 三層 四層 五層 地下層
RPPNMLQLLHMFFAT76CA,2,193.24,見其他登記事項,鋼筋混凝土造,104年5月7日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLSLLHMFFAT57CA,11,330.71,見其他登記事項,鋼筋混凝土造,95年5月9日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLTLLHMFFAT47CA,3,197.03,住家用,鋼筋混凝土造,103年7月28日,三層,一層 二層 三層 屋頂突出物
RPTNMLKMLHMFFAT66CA,1,218.42,住家用,鋼筋混凝土造,104年12月16日,三層,一層 二層 三層 屋頂突出物
RPRNMLQJMHMFFET27CA,37,99.20,住商用,鋼筋混凝土加強磚造,68年8月29日,二層,一層 二層 騎樓
RPTNMLKLLHMFFDT86CA,50,168.16,住宅,見其他登記事項,56年8月15日,一層,一層 騎樓
RPRNMLOLLHMFFDT07CA,13,181.71,住宅,鋼筋混凝土造,93年5月31日,三層,一層 二層 三層
RPUNMLTLLHMFFCT87DA,49,190.78,住家用,見使用執照,57年1月15日,一層,一層
RPWNMLQJMHMFFDT77DA,43,207.36,住宅,鋼筋混凝土造,63年4月1日,二層,一層 二層 騎樓
RPTOMLNKMHMFFAT07DA,34,175.96,住商用,鋼筋混凝土造,71年6月28日,三層,一層 二層 三層 騎樓
RPPNMLRKMHMFFAT96DA,17,24.01,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPTNMLLLLHMFFDT96CA,34,102.61,住宅,鋼筋混凝土造,72年2月20日,二層,一層 二層 騎樓
RPRNMLMLLHMFFET96CA,23,22.81,住家用,鋼筋混凝土造,82年11月26日,六層,二層
RPWOMLRJMHMFFAT57CA,,217.04,住家用,鋼筋混凝土造,105年8月26日,三層,一層 二層 三層 屋頂突出物
