鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新城鄉,房地(土地+建物),花蓮縣新城鄉大漢村七星街91~120號,123.62,,一般農業區,甲種建築用地,1051121,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1050929,390.98,8,2,9,有,無,38700000,98982,,0.0,0,,RPQOMLMJNHMFFAU66CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街8巷1~30號,417.0,,鄉村區,乙種建築用地,1051216,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,349.66,5,2,4,有,無,9479841,27112,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄497,520 元",RPSQMLOJNHMFFAU27CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街7巷1~30號,418.0,,鄉村區,乙種建築用地,1051216,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1050106,223.5,4,2,3,有,無,8319370,37223,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄498,714 元",RPVQMLOJNHMFFAU57CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街5巷1~30號,401.0,,鄉村區,乙種建築用地,1051216,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1050106,220.66,4,1,3,有,無,7288140,33029,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄478,430 元",RPXQMLOJNHMFFAU77CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街8巷1~30號,417.0,,鄉村區,乙種建築用地,1051216,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,421.41,6,2,5,有,無,10504318,24927,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄497,520 元",RPVOMLOJNHMFFAU37CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街8巷1~30號,417.0,,鄉村區,乙種建築用地,1051216,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,486.76,5,2,5,有,無,11791669,24225,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄497,520 元",RPPRMLOJNHMFFAU07CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街7巷1~30號,418.0,,鄉村區,乙種建築用地,1051216,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,472.43,5,2,4,有,無,10049823,21273,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄498,714 元",RPRRMLOJNHMFFAU27CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街5巷1~30號,400.0,,鄉村區,乙種建築用地,1051216,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,513.69,4,2,5,有,無,10789967,21005,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄477,237 元",RPSRMLOJNHMFFAU37CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街5巷1~30號,400.0,,鄉村區,乙種建築用地,1051216,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,380.19,0,0,0,無,無,9925933,26108,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄477,237 元",RPURMLOJNHMFFAU57CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街5巷1~30號,400.0,,鄉村區,乙種建築用地,1051216,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1050106,204.27,4,2,2,有,無,7040211,34465,,0.0,0,"買賣交易總價尚未包括買方代賣方支付土地增值稅＄477,237 元",RPVRMLOJNHMFFAU67CA
