編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLMJNHMFFAU66CA,,390.98,住家用,鋼筋混凝土造,105年9月29日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPSQMLOJNHMFFAU27CA,1,349.66,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPVQMLOJNHMFFAU57CA,1,223.50,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPXQMLOJNHMFFAU77CA,1,220.66,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPVOMLOJNHMFFAU37CA,1,421.41,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPPRMLOJNHMFFAU07CA,1,486.76,住家用,鋼筋混凝土造,105年1月6日,三層,二層 三層 一層
RPRRMLOJNHMFFAU27CA,1,472.43,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPSRMLOJNHMFFAU37CA,1,513.69,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPURMLOJNHMFFAU57CA,1,380.19,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPVRMLOJNHMFFAU67CA,1,204.27,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPTTMLOJNHMFFAU67CA,1,504.83,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPQNMLOJNHMFFAU76CA,1,461.02,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPTNMLOJNHMFFAU07CA,1,389.16,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPUNMLOJNHMFFAU17CA,1,276.25,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPQOMLOJNHMFFAU86CA,1,282.79,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPROMLOJNHMFFAU96CA,1,386.89,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPSOMLOJNHMFFAU07CA,1,351.47,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPTOMLOJNHMFFAU17CA,1,267.91,見其他登記事項,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPUTMLOJNHMFFAU77CA,1,336.79,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPVTMLOJNHMFFAU87CA,1,221.96,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPWTMLOJNHMFFAU97CA,1,576.93,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPXTMLOJNHMFFAU08CA,1,379.10,住家用,鋼筋混凝土造,105年1月6日,二層,屋頂突出物 一層 二層
RPOUMLOJNHMFFAU27CA,1,373.53,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPPUMLOJNHMFFAU37CA,1,368.27,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPQUMLOJNHMFFAU47CA,1,265.64,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPWOMLOJNHMFFAU47CA,1,294.15,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPXOMLOJNHMFFAU57CA,1,320.14,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPOPMLOJNHMFFAU76CA,1,250.41,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPPPMLOJNHMFFAU86CA,1,261.06,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPQPMLOJNHMFFAU96CA,1,264.02,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPRPMLOJNHMFFAU07CA,1,304.91,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPSPMLOJNHMFFAU17CA,1,259.21,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPTPMLOJNHMFFAU27CA,1,208.93,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPUPMLOJNHMFFAU37CA,1,265.64,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPVPMLOJNHMFFAU47CA,1,310.71,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPORMLOJNHMFFAU96CA,1,258.09,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPWQMLOJNHMFFAU67CA,1,232.61,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPPQMLOJNHMFFAU96CA,1,235.89,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPQQMLOJNHMFFAU07CA,1,281.80,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPRQMLOJNHMFFAU17CA,1,235.78,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPSTMLOJNHMFFAU57CA,1,269.07,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPTNMLSJNHMFFAU47CA,1,451.17,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPPTMLOJNHMFFAU27CA,1,300.17,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPQTMLOJNHMFFAU37CA,1,169.07,住家用,鋼筋混凝土造,105年1月6日,一層,一層 屋頂突出物
RPRTMLOJNHMFFAU47CA,1,281.86,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPOQMLOJNHMFFAU86CA,1,250.24,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPTOMLMJNHMFFAU96CA,1,221.04,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層
RPWSMLOJNHMFFAU87CA,1,192.59,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPXSMLOJNHMFFAU97CA,1,171.28,住家用,鋼筋混凝土造,105年1月6日,一層,一層 夾層
RPOTMLOJNHMFFAU17CA,1,304.06,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPWPMLPJNHMFFAU67CA,1,211.78,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPXPMLPJNHMFFAU77CA,1,212.63,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
