編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLTJKILFFAU67CC,24,147.91,住商用,鋼筋混凝土造,81年10月9日,二層,
RPSOMLOKKILFFAU07CC,23,44.16,住家用,鋼筋混凝土造,82年12月14日,五層,
RPSOMLOKKILFFAU07CC,23,4.49,共有部份,鋼筋混凝土造,82年12月14日,五層,
RPWOMLTLKILFFAU08CC,,110.88,住家用,木造,,二層,
RPQPMLTLKILFFAU67DC,23,269.33,住商用,鋼筋混凝土造,82年8月19日,五層,
RPSNMLPJJHMFFAU86CC,30,121.51,住商用,鋼筋混凝土造,76年3月19日,二層,
RPTNMLTJJHMFFAU37CC,45,56.24,住家用,見其他登記事項,60年7月15日,一層,
RPXNMLKKJHMFFAU96CC,44,112.14,住家用,鋼筋混凝土加強磚造,62年6月25日,二層,
RPOOMLKKJHMFFAU78CC,11,728.57,農舍,鋼筋混凝土造,95年6月13日,三層,
RPUOMLMKJHMFFAU96CC,25,235.03,住商用,鋼筋混凝土造,80年11月19日,四層,
RPRNMLQKJHMFFAU96CC,29,209.36,住商用,鋼筋混凝土造,77年1月11日,三層,
RPPNMLRKJHMFFAU86CC,49,133.81,住家用,鋼筋混凝土加強磚造,56年12月6日,二層,
RPXNMLNLJHMFFAU37CC,38,224.11,住商用,鋼筋混凝土造,68年5月11日,三層,
RPOOMLNLJHMFFAU56CC,38,88.58,住家用,鋼筋混凝土加強磚造,67年12月1日,二層,
RPVNMLPLJHMFFAU37CC,14,146.37,商業用,鋼筋混凝土造,91年10月28日,三層,
RPTNMLKKKHMFFAU66CC,42,148.77,住家用,鋼筋混凝土造,64年6月1日,三層,
RPWNMLKKKHMFFAU96CC,35,132.96,住家用,鋼筋混凝土加強磚造,70年11月23日,二層,
RPRNMLNKKHMFFAU86DC,3,183.30,住家用,鋼筋混凝土造,101年9月5日,三層,
RPTOMLLLKHMFFAU96CC,10,240.23,商業用,鋼筋混凝土造,96年5月1日,四層,
RPPOMLMJLHMFFAU56CC,6,270.65,住家用,鋼筋混凝土造,99年9月17日,三層,
RPOOMLTJLHMFFAU27DC,10,245.52,住家用,鋼筋混凝土造,96年8月2日,三層,
RPTPMLKKLHMFFAU96CC,38,105.08,住商用,鋼筋混凝土加強磚造,68年6月11日,二層,
RPUNMLNKLHMFFAU17CC,2,323.51,住家用,鋼筋混凝土造,104年6月3日,四層,
RPRNMLOKLHMFFAU96CC,1,255.41,住家用,鋼筋混凝土造,104年11月5日,四層,
RPVNMLPKLHMFFAU47CC,48,141.06,住家用,鋼筋混凝土加強磚造,57年9月13日,二層,
RPRPMLRKLHMFFAU47CC,28,41.54,住家用,鋼筋混凝土造,78年3月14日,五層,
RPRPMLRKLHMFFAU47CC,28,10.26,共有部份,鋼筋混凝土造,78年3月17日,五層,
RPXPMLRKLHMFFAU08CC,24,74.76,住家用,鋼筋混凝土造,82年3月5日,六層,
RPOQMLRKLHMFFAU27CC,24,82.43,住家用,鋼筋混凝土造,82年6月18日,六層,
RPQNMLNLLHMFFAU86CC,21,51.21,住家用,鋼筋混凝土造,85年5月13日,五層,
RPQNMLNLLHMFFAU86CC,21,11.63,共有部份,鋼筋混凝土造,85年3月13日,五層,
RPOPMLNLLHMFFAU86CC,10,240.23,商業用,鋼筋混凝土造,96年5月1日,四層,
RPSPMLNLLHMFFAU27CC,6,19.38,住家用,鋼筋混凝土造,100年2月8日,二層,
RPQOMLNLLHMFFAU07DC,21,28.42,住家用,鋼筋混凝土造,84年9月19日,六層,
RPQOMLNLLHMFFAU07DC,21,12.31,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPROMLNLLHMFFAU17DC,20,22.01,住家用,鋼筋混凝土造,86年8月27日,七層,
RPROMLNLLHMFFAU17DC,20,9.75,共有部份,鋼筋混凝土造,86年8月27日,七層,
RPTOMLNLLHMFFAU37DC,25,49.14,住家用,鋼筋混凝土造,81年4月22日,五層,
RPTOMLNLLHMFFAU37DC,25,7.64,共有部份,鋼筋混凝土造,81年4月22日,五層,
RPUOMLNLLHMFFAU47DC,27,131.64,住家用,鋼筋混凝土造,79年3月31日,四層,
RPUOMLNLLHMFFAU47DC,27,8.83,共有部份,鋼筋混凝土造,79年3月31日,四層,
RPUNMLOLLHMFFAU47DC,23,112.18,住商用,鋼筋混凝土造,83年1月10日,九層,
RPUNMLOLLHMFFAU47DC,23,19.15,共有部份,鋼筋混凝土造,83年1月10日,九層,
RPSNMLOLLHMFFAU17CC,27,59.32,住商用,鋼筋混凝土造,79年6月14日,四層,
RPTNMLOLLHMFFAU27CC,23,40.19,住家用,鋼筋混凝土造,83年8月11日,八層,
RPTNMLOLLHMFFAU27CC,23,21.29,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPROMLRLLHMFFAU47CC,14,100.43,住家用,鋼筋混凝土造,91年11月21日,十一層,
RPROMLRLLHMFFAU47CC,14,66.82,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPPOMLRLLHMFFAU37DC,14,19.30,住家用,鋼筋混凝土造,92年4月30日,三層,
RPRPMLSLLHMFFAU87EC,12,183.34,住家用,鋼筋混凝土造,94年5月19日,三層,
RPVOMLSLLHMFFAU97CC,23,92.98,住商用,鋼筋混凝土造,82年12月15日,六層,
RPVOMLSLLHMFFAU97CC,23,14.60,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPVOMLSLLHMFFAU97CC,23,5.95,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPWPMLSLLHMFFAU18CC,14,213.90,住家用,鋼筋混凝土造,92年5月16日,四層,
