鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,建物,臺東縣臺東市豐興路61~90號,0.0,,,,1050207,土地0建物1車位0,一層，二層，三層，四層，五層，六層，七層，見其他登記事項,七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050831,3262.83,84,3,84,有,無,20934300,6416,,0.0,0,,RPSNMLNLKILFFAV86CA
台東市,建物,臺東縣臺東市西康路一段72巷60弄1~30號,0.0,,,,1051020,土地0建物1車位0,全,一層,透天厝,見其他登記事項,見其他登記事項,0881106,97.52,0,0,0,有,無,1600000,16407,,0.0,0,,RPVNMLQLKILFFAV47CA
卑南鄉,建物,臺東縣卑南鄉牧場1~30號,0.0,,,,1051130,土地0建物1車位0,全,一層,透天厝,見其他登記事項,鋼筋混凝土造,0621201,525.61,0,1,0,有,無,250252,476,,0.0,0,向政府機關承購之案件。,RPTNMLPKKHMFFAV17DA
卑南鄉,房地(土地+建物),臺東縣臺東市太平路344巷1~30號,61.0,,鄉村區,乙種建築用地,1060202,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0700907,83.6,3,2,1,有,無,650000,7775,,0.0,0,,RPRNMLOKKHMFFAV86DA
成功鎮,土地,忠勇段601~630地號,103.65,住,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,13507,,0.0,0,,RPPNMLKLLHMFFBV56DA
關山鎮,土地,中福段571~600地號,141.52,住,,,1060301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,19079,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLKLLHMFFCV66DA
台東市,土地,新園段691~720地號,4248.0,,特定農業區,農牧用地,1051027,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,589,,0.0,0,,RPWNMLQKLHMFFAV67DA
關山鎮,土地,里�K段901~930地號,3.0,其他,,,1060213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,6667,,0.0,0,,RPVNMLMLLHMFFCV37CA
池上鄉,土地,福原段241~270地號,6.94,商,,,1060307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,182000,26225,,0.0,0,畸零地或有合併使用之交易。,RPWNMLMLLHMFFCV47CA
台東市,房地(土地+建物),臺東縣臺東市山西路一段255巷1弄1~30號,107.55,住,,,1060211,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830413,178.2,5,1,3,有,無,5850000,32828,,0.0,0,,RPSNMLRKLHMFFAV27CA
台東市,土地,岩灣段121~150地號,648.09,住,,,1060221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31360000,48388,,0.0,0,,RPRNMLLLLHMFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市吉林路一段231巷1~30號,139.04,,鄉村區,乙種建築用地,1051219,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051130,186.87,4,2,4,有,無,7500000,40135,,0.0,0,,RPPOMLMLLHMFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市永安街47巷6弄1~30號,245.19,住,,,1060207,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1041015,271.16,4,2,6,有,無,13700000,50524,,0.0,0,,RPUNMLKKMHMFFAV86CA
台東市,房地(土地+建物),臺東縣臺東市蘭州街9巷1~30號,96.35,住,,,1060203,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850113,168.62,3,2,2,有,無,5850000,34693,,0.0,0,,RPWNMLKKMHMFFAV07CA
台東市,房地(土地+建物),臺東縣臺東市長沙街391~420號,42.43,住,,,1060124,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821230,219.95999999999998,0,0,0,無,無,10000000,45463,,0.0,0,,RPVOMLKMLHMFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市長沙街391~420號,42.43,住,,,1060124,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821230,152.39,0,0,0,無,無,7000000,45935,,0.0,0,,SPVOMLKMLHMFFAV27CA
台東市,房地(土地+建物),臺東縣臺東市長沙街391~420號,42.43,住,,,1060124,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821230,230.04,0,0,0,無,無,5000000,21735,,0.0,0,,TPVOMLKMLHMFFAV37CA
台東市,房地(土地+建物),臺東縣臺東市仁八街31~60號,150.0,住,,,1060209,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050121,222.09,4,2,5,有,無,11800000,53132,,0.0,0,,RPRNMLPLLHMFFAV07CA
台東市,土地,建國段91~120地號,84.0,住,,,1060220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,23810,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。(包含)公共設施保留地之交易。,RPPNMLLLLHMFFAV09CA
台東市,土地,康樂段331~360地號,2156.5,,特定農業區,農牧用地,1060302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1552680,720,,0.0,0,親友、員工或其他特殊關係間之交易。持分移轉。,RPQNMLLLLHMFFAV56CA
台東市,土地,康樂段661~690地號,5299.0,,特定農業區,農牧用地,1060216,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,849,,0.0,0,,RPPNMLSLLHMFFAV17CA
鹿野鄉,土地,瑞里段241~270地號,260.49,,鄉村區,乙種建築用地,1060309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2480000,9521,,0.0,0,,RPSNMLMLLHMFFCV07CA
關山鎮,土地,里�K段901~930地號,3.0,其他,,,1060213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,6667,,0.0,0,,RPUNMLMLLHMFFCV27CA
海端鄉,土地,崁頂段151~180地號,850.0,,山坡地保育區,農牧用地,1060310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,294,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLSLLHMFFCV47CA
台東市,房地(土地+建物),臺東縣臺東市山西路二段199巷31~60號,106.35,住,,,1060307,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830512,153.17,3,2,2,有,無,3900000,25462,,0.0,0,含增建或未登記建物33.63平方公尺。,RPRNMLMLLHMFFAV86DA
台東市,房地(土地+建物),臺東縣臺東市山西路二段199巷31~60號,104.48,住,,,1060307,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830512,153.17,3,2,2,有,無,3900000,25462,,0.0,0,含增建或未登記建物61.83平方公尺。,SPRNMLMLLHMFFAV96DA
池上鄉,土地,萬福段391~420地號,2760.16,,特定農業區,農牧用地,1060313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4968000,1800,,0.0,0,,RPTNMLMLLHMFFCV17CA
成功鎮,土地,坪頂段841~870地號,6553.25,,風景區,農牧用地,1060301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7208575,1100,,0.0,0,,RPRNMLLLLHMFFBV76CA
成功鎮,土地,三民段781~810地號,114.97,住,,,1060301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,16091,,0.0,0,,RPPNMLMLLHMFFBV66CA
海端鄉,土地,海端段1~30地號,3636.75,,山坡地保育區,農牧用地,1060110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,69,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLMKMHMFFCV17DA
成功鎮,土地,忠勇段601~630地號,502.76,住,,,1060301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6795000,13515,,0.0,0,,RPPNMLNLLHMFFBV86DA
台東市,房地(土地+建物),臺東縣臺東市正氣北路388巷1~30號,101.0,住,,,1060216,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820323,195.4,6,2,3,有,無,7150000,36592,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLKMLHMFFAV76CA
卑南鄉,土地,利家段5641~5670地號,5840.0,,特定農業區,農牧用地,1060127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9344000,1600,,0.0,0,,RPSNMLLLLHMFFAV76CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉太平路仁德巷1~30號,66.89,,鄉村區,乙種建築用地,1051227,土地2建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830601,93.34,2,2,2,有,無,2100000,22498,,0.0,0,,RPQNMLMLLHMFFAV66CA
台東市,土地,建康段1411~1440地號,567.3,農,,,1060309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,5288,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOLLHMFFAV76CA
