編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLNLKILFFAV86CA,,3262.83,見其他登記事項,鋼筋混凝土造,105年8月31日,七層,一層 二層 三層 四層 五層 六層 七層 見其他登記事項
RPVNMLQLKILFFAV47CA,17,97.52,見其他登記事項,見其他登記事項,88年11月6日,一層,一層
RPTNMLPKKHMFFAV17DA,43,525.61,見其他登記事項,鋼筋混凝土造,62年12月1日,一層,一層 騎樓
RPRNMLOKKHMFFAV86DA,35,83.60,住家用,見其他登記事項,70年9月7日,一層,
RPSNMLRKLHMFFAV27CA,23,178.20,住家用,鋼筋混凝土造,83年4月13日,四層,一層 二層 三層 四層
RPPOMLMLLHMFFAV66CA,,186.87,住家用,鋼筋混凝土造,105年11月30日,三層,一層 二層 三層
RPUNMLKKMHMFFAV86CA,1,271.16,住家用,見其他登記事項,104年10月15日,三層,一層 二層 三層
RPWNMLKKMHMFFAV07CA,21,168.62,住家用,鋼筋混凝土造,85年1月13日,四層,一層 二層 三層 四層
RPVOMLKMLHMFFAV17CA,23,156.57,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,一層 騎樓
RPVOMLKMLHMFFAV17CA,23,63.39,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,
SPVOMLKMLHMFFAV27CA,23,110.23,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,二層
SPVOMLKMLHMFFAV27CA,23,42.16,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,
TPVOMLKMLHMFFAV37CA,23,167.53,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,四層
TPVOMLKMLHMFFAV37CA,23,62.51,見其他登記事項,鋼筋混凝土造,82年12月30日,七層,
RPRNMLPLLHMFFAV07CA,1,222.09,見其他登記事項,見其他登記事項,105年1月21日,三層,一層 二層 三層 屋頂突出物
RPRNMLMLLHMFFAV86DA,23,153.17,住家用,鋼筋混凝土造,83年5月12日,三層,一層 二層 三層
SPRNMLMLLHMFFAV96DA,23,153.17,住家用,鋼筋混凝土造,83年5月12日,三層,一層 二層 三層
