編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLOKKHMFFAV86DA,利家段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKLLHMFFBV56DA,忠勇段,103.65,都市：住
RPPNMLKLLHMFFCV66DA,中福段,101.28,都市：住
RPPNMLKLLHMFFCV66DA,中福段,40.24,都市：住
RPWNMLQKLHMFFAV67DA,新園段,1541.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLQKLHMFFAV67DA,新園段,2707.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLMLLHMFFCV37CA,里�K段,3.00,都市：其他
RPWNMLMLLHMFFCV47CA,福原段,6.94,都市：商
RPSNMLRKLHMFFAV27CA,豐康段,20.58,都市：住
RPSNMLRKLHMFFAV27CA,豐康段,.24,都市：住
RPSNMLRKLHMFFAV27CA,豐康段,1.31,都市：住
RPSNMLRKLHMFFAV27CA,豐康段,85.42,都市：住
RPRNMLLLLHMFFAV66CA,岩灣段,648.09,都市：住
RPPOMLMLLHMFFAV66CA,富岡南段,139.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLKKMHMFFAV86CA,南清段,6.33,都市：其他
RPUNMLKKMHMFFAV86CA,南清段,238.86,都市：住
RPWNMLKKMHMFFAV07CA,豐年段,75.43,都市：住
RPWNMLKKMHMFFAV07CA,豐年段,20.92,都市：住
RPVOMLKMLHMFFAV17CA,台東段,42.43,都市：住
SPVOMLKMLHMFFAV27CA,台東段,42.43,都市：住
TPVOMLKMLHMFFAV37CA,台東段,42.43,都市：住
RPRNMLPLLHMFFAV07CA,馬蘭段,150.00,都市：住
RPPNMLLLLHMFFAV09CA,建國段,79.68,都市：住
RPPNMLLLLHMFFAV09CA,建國段,4.32,都市：住
RPQNMLLLLHMFFAV56CA,康樂段,2156.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSLLHMFFAV17CA,康樂段,672.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSLLHMFFAV17CA,康樂段,4601.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSLLHMFFAV17CA,康樂段,26.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMLLHMFFCV07CA,瑞里段,260.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMLLHMFFCV27CA,里�K段,3.00,都市：其他
RPQNMLSLLHMFFCV47CA,崁頂段,850.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLMLLHMFFAV86DA,德安段,80.83,都市：住
RPRNMLMLLHMFFAV86DA,德安段,25.52,都市：住
SPRNMLMLLHMFFAV96DA,德安段,83.70,都市：住
SPRNMLMLLHMFFAV96DA,德安段,20.78,都市：住
RPTNMLMLLHMFFCV17CA,萬福段,2760.16,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLLLLHMFFBV76CA,坪頂段,691.32,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLLLLHMFFBV76CA,坪頂段,5861.93,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLMLLHMFFBV66CA,三民段,114.97,都市：住
RPSNMLMKMHMFFCV17DA,海端段,270.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMKMHMFFCV17DA,海端段,3366.75,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNLLHMFFBV86DA,忠勇段,501.58,都市：住
RPPNMLNLLHMFFBV86DA,忠勇段,1.18,都市：住
RPSNMLKMLHMFFAV76CA,豐樂段,49.50,都市：住
RPSNMLKMLHMFFAV76CA,豐樂段,49.50,都市：住
RPSNMLKMLHMFFAV76CA,豐樂段,1.00,都市：住
RPSNMLKMLHMFFAV76CA,豐樂段,1.00,都市：住
RPSNMLLLLHMFFAV76CA,利家段,5840.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMLLHMFFAV66CA,利家段,35.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLLHMFFAV66CA,利家段,31.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOLLHMFFAV76CA,建康段,567.30,都市：農
RPSOMLMLLHMFFAV96CA,東海段,100.71,都市：住
RPROMLKMLHMFFAV76CA,台東段,41.40,都市：住
RPVNMLLMLHMFFAV17CA,上源段,2777.51,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLLMLHMFFAV17CA,上源段,2777.54,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLLMLHMFFAV17CA,上源段,2777.55,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTOMLKMLHMFFAV96CA,豐田段,246.05,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,225.32,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,225.32,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,184.35,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,778.37,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,131.35,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,39.05,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,39.05,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,31.95,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,134.90,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,1.23,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,.37,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,.37,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,.30,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,1.27,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,207.51,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,61.69,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,61.69,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,50.48,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,213.12,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,622.52,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,185.08,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,185.08,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,151.42,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,639.35,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,36.07,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,10.72,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,10.72,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,8.78,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,37.05,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,109.46,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,32.54,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,32.54,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,26.62,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,112.42,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,757.88,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,73.15,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,73.15,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,59.85,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,252.70,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,9.56,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,2.84,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,2.84,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,2.32,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,9.82,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,154.17,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,45.83,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,45.83,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,37.50,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,158.33,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,694.37,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,206.43,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,206.43,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,168.90,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,713.13,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,26.52,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,7.88,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,7.88,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,6.45,都市：住
RPTOMLKMLHMFFAV96CA,豐田段,27.23,都市：住
RPROMLKKMHMFFAV66CA,東海段,14.93,都市：住
RPROMLKKMHMFFAV66CA,東海段,.96,都市：住
RPSNMLMLLHMFFAV86CA,南清段,84.36,都市：住
RPUNMLMLLHMFFAV07CA,利家段,2266.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLMLLHMFFAV07CA,利家段,405.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLMLLHMFFAV56CA,台東段,83.00,都市：住
RPQNMLRLLHMFFAV17CA,台東段,16.71,都市：住
RPRNMLRLLHMFFAV27CA,南清段,179.73,都市：住
RPWNMLSLLHMFFAV87CA,常德段,132.94,都市：住
RPPNMLRLLHMFFBV17CA,玉港段,186.02,非都市：風景區 ; 非都市編定：丙種建築用地
RPPNMLRLLHMFFBV17CA,玉港段,186.02,非都市：風景區 ; 非都市編定：丙種建築用地
RPPNMLRLLHMFFBV17CA,玉港段,1425.02,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLRLLHMFFBV17CA,玉港段,1425.02,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLRLLHMFFBV27CA,玉港段,1163.64,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLNLLHMFFDV96CA,北橋段,92.69,都市：住
RPRNMLRLLHMFFBV37CA,忠勇段,90.63,都市：住
RPQNMLTLLHMFFBV47CA,北八里段,275.83,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLKLMHMFFAV56CA,建業段,11.78,都市：住
RPPNMLTLLHMFFAV27CA,東海段,3598.10,都市：住
RPTNMLSLLHMFFAV57CA,東海段,75.51,都市：住
RPVOMLMLLHMFFAV27CA,豐年段,117.74,都市：住
RPWOMLMLLHMFFAV37CA,知本段,2718.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOLLHMFFAV96CA,台東段,107.00,都市：住
RPRNMLSLLHMFFAV37CA,北南王段,181.61,都市：住
RPQOMLKKMHMFFAV56CA,台東段,91.00,都市：住
RPUNMLLKMHMFFAV96CA,普優瑪段,109.56,都市：住
RPPNMLOLLHMFFBV86CA,沙泥灣段,1143.52,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSLLHMFFCV57CA,大原段,2216.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSLLHMFFCV57CA,大原段,1846.67,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSLLHMFFCV57CA,大原段,1538.89,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSLLHMFFCV57CA,大原段,1046.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKMLHMFFCV66CA,豐泉段,26.69,都市：農
RPPNMLKMLHMFFCV66CA,豐泉段,185.03,都市：農
RPQNMLRLLHMFFCV47DA,溪埔段,316.67,都市：工
RPQNMLKLMHMFFCV76CA,豐泉段,7.00,都市：住
RPRNMLKLMHMFFCV86CA,豐泉段,11.84,都市：住
RPPNMLQLLHMFFBV07CA,東柄段,824.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRLLHMFFCV27CA,大原段,1003.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRLLHMFFCV27CA,大原段,903.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSLLHMFFCV37CA,電光段,292.28,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLLKMHMFFAV66CA,青林段,189.35,都市：住
RPRNMLLKMHMFFAV66CA,青林段,160.27,都市：住
RPRNMLLKMHMFFAV66CA,青林段,43.64,都市：住
RPQNMLTLLHMFFAV37CA,光明段,122.00,都市：住
RPVNMLSLLHMFFAV77CA,台東段,76.00,都市：住
RPSNMLOLLHMFFAV07CA,豐年段,149.57,都市：住
RPPNMLRLLHMFFAV07CA,建華段,1419.36,都市：農
RPPNMLRLLHMFFAV07CA,建華段,1337.68,都市：農
RPPNMLRLLHMFFAV07CA,建華段,3363.08,都市：農
RPPNMLKKMHMFFAV98CA,大業段,225.07,都市：住
RPPNMLNKMHMFFAV66CA,利家段,211.00,都市：農
RPXNMLKKMHMFFAV17CA,豐榮段,98.79,都市：住
RPOOMLKKMHMFFAV98CA,常德段,95.64,都市：住
RPOOMLKKMHMFFAV98CA,常德段,63.54,都市：住
RPPNMLLMLHMFFAV56CA,豐川段,1676.95,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLMLHMFFAV56CA,豐川段,217.11,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRJMHMFFAV96CA,興安段,152.16,都市：住
RPVNMLKMLHMFFAV07CA,常德段,107.49,都市：住
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,133.25,都市：住
RPTNMLKLMHMFFAV86CA,永清段,300.08,都市：其他
RPTNMLKLMHMFFAV86CA,永清段,104.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,1874.16,都市：住
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,20.16,都市：住
RPTNMLKLMHMFFAV86CA,永清段,110.25,都市：住
RPTNMLKLMHMFFAV86CA,永清段,104.00,都市：住
RPTNMLKLMHMFFAV86CA,永清段,266.49,都市：其他
RPTNMLKLMHMFFAV86CA,永清段,100.00,都市：住
RPSNMLSLLHMFFAV57DA,普優瑪段,9.11,都市：住
RPSNMLLMLHMFFCV07CA,慶福段,82.50,都市：住
RPPNMLQJMHMFFCV07CA,新福段,311.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKKMHMFFAV86DA,台東段,71.00,都市：住
RPPNMLKLMHMFFCV66CA,隆盛段,1509.41,都市：農
RPPNMLKLMHMFFCV66CA,隆盛段,1326.74,都市：農
RPPNMLKLMHMFFCV66CA,隆盛段,74.77,都市：農
RPPNMLKLMHMFFCV66CA,隆盛段,61.36,都市：農
RPTNMLRJMHMFFAV47DA,富岡南段,375.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLMHMFFCV96CA,中和段,169.60,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLKLMHMFFCV96CA,中和段,7214.35,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLKMLHMFFAV17CA,常德段,107.04,都市：住
RPXNMLKMLHMFFAV27CA,常德段,107.26,都市：住
RPPOMLKMLHMFFAV56CA,常德段,107.38,都市：住
RPQOMLKMLHMFFAV66CA,常德段,106.93,都市：住
RPTNMLKMLHMFFAV86CA,東海段,3817.67,都市：農
RPUNMLKMLHMFFAV96CA,常德段,107.15,都市：住
RPRNMLKMLHMFFAV66CA,常德段,.06,都市：住
RPRNMLKMLHMFFAV66CA,常德段,108.70,都市：住
RPRNMLKMLHMFFAV66CA,常德段,13.12,都市：住
RPQNMLLMLHMFFAV66CA,岩灣段,96.32,都市：住
RPWNMLOKMHMFFAV47CA,建本段,154.92,都市：住
RPSOMLKMLHMFFAV86CA,常德段,122.50,都市：住
RPWOMLKMLHMFFAV27CA,豐榮段,1.00,都市：住
RPWOMLKMLHMFFAV27CA,豐榮段,57.00,都市：住
RPUOMLKMLHMFFAV07CA,常德段,7.59,都市：住
RPSNMLLMLHMFFAV86CA,東谷段,136.68,都市：住
RPSNMLKMLHMFFDV07CA,秀山段,7.08,都市：住
RPRNMLLMLHMFFCV96CA,大埔段,10.07,都市：住
RPQNMLKMLHMFFBV66CA,萬年段,226.00,非都市：風景區 ; 非都市編定：丙種建築用地
RPQNMLKMLHMFFBV66CA,萬年段,3137.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLKMLHMFFBV66DA,濱海段,117.19,都市：住
RPPNMLOKMHMFFBV86CA,三民段,330.65,都市：其他
RPPNMLOKMHMFFBV86CA,三民段,81.93,都市：住
RPQNMLRJMHMFFAV07CA,馬蘭段,150.00,都市：住
RPPNMLPJMHMFFAV76CA,利家段,99.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJMHMFFAV86CA,常德段,12.72,都市：住
RPRNMLPJMHMFFAV96CA,常德段,89.29,都市：住
RPSNMLPJMHMFFAV07CA,台東段,42.43,都市：住
RPTNMLPJMHMFFAV17CA,中山段,85.00,都市：住
RPSNMLQJMHMFFAV17CA,知本段,3065.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLQJMHMFFAV27CA,知本段,3935.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLQJMHMFFAV37CA,永和段,87.34,都市：住
