鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金寧鄉,房地(土地+建物),金門縣金寧鄉東堡1~30號,39.59,其他,,,1060306,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060110,73.22,2,1,2,有,無,3680000,50259,,0.0,0,,RPTNMLRKLHMFFAW47CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,37.71,其他,,,1060310,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060125,64.96000000000001,2,2,1,有,無,3880000,59729,,0.0,0,,RPVNMLNLLHMFFAW37CA
金湖鎮,土地,湖前段181~210地號,1199.39,住,,,1060223,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18973187,15819,,0.0,0,,RPTNMLNLLHMFFAW17CA
烈嶼鄉,土地,沙溪測段91~120地號,1133.98,農,,,1060221,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,2557,,0.0,0,,RPQNMLSLLHMFFAW37CA
金湖鎮,房地(土地+建物),金門縣金湖鎮赤東路1~30號,19.44,住,,,1060215,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041201,102.80000000000001,2,2,1,有,有,6060000,58949,,0.0,0,,RPRNMLSLLHMFFAW47CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮赤東路1~30號,20.23,住,,,1060206,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041201,126.47,2,2,1,有,有,6400000,57384,坡道平面,23.48,490000,,RPUNMLSLLHMFFAW77CA
金城鎮,土地,蜈蚣山段31~60地號,90.26,農,,,1060123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,4432,,0.0,0,,RPPNMLLLLHMFFAW56CA
金城鎮,房地(土地+建物),金門縣金城鎮大古崗1~30號,169.0,其他,,,1060306,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701205,174.49,5,3,2,有,無,4600000,26363,,0.0,0,,RPRNMLRKLHMFFAW27CA
金寧鄉,土地,寧安二劃段421~450地號,1000.0,農,,,1060301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,6000,,0.0,0,,RPSNMLRKLHMFFAW37CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮赤東路1~30號,19.44,住,,,1060206,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041201,121.19999999999999,2,1,1,有,有,5960000,55874,坡道平面,23.48,500000,,RPSNMLSLLHMFFAW57CA
金寧鄉,土地,寧湖二劃測段1201~1230地號,640.02,其他,,,1060315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20204632,31569,,0.0,0,,RPSNMLNLLHMFFAW07CA
金沙鎮,土地,沙港劃段661~690地號,750.03,農,,,1060307,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6120000,8160,,0.0,0,,RPPNMLMLLHMFFAW76DA
