編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLRKLHMFFAW47CA,,67.01,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,二層
RPTNMLRKLHMFFAW47CA,,6.21,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPVNMLNLLHMFFAW37CA,,57.03,見其他登記事項,鋼筋混凝土造,106年1月25日,三層,二層
RPVNMLNLLHMFFAW37CA,,7.93,見其他登記事項,鋼筋混凝土造,106年1月25日,三層,
RPRNMLSLLHMFFAW47CA,1,79.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,九層
RPRNMLSLLHMFFAW47CA,1,6.23,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLSLLHMFFAW47CA,1,8.80,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLSLLHMFFAW47CA,1,8.30,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPUNMLSLLHMFFAW77CA,1,79.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,八層
RPUNMLSLLHMFFAW77CA,1,8.80,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPUNMLSLLHMFFAW77CA,1,31.96,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPUNMLSLLHMFFAW77CA,1,6.23,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLRKLHMFFAW27CA,35,174.49,住家用,鋼筋混凝土造,70年12月5日,二層,一層 二層
RPSNMLSLLHMFFAW57CA,1,75.21,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,七層
RPSNMLSLLHMFFAW57CA,1,6.19,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPSNMLSLLHMFFAW57CA,1,8.31,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPSNMLSLLHMFFAW57CA,1,31.50,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPUNMLNLLHMFFAW27CA,,65.07,見其他登記事項,鋼筋混凝土造,106年1月25日,三層,二層
RPUNMLNLLHMFFAW27CA,,7.93,見其他登記事項,鋼筋混凝土造,106年1月25日,三層,
RPXNMLNLLHMFFAW57CA,36,162.00,住商用,鋼筋混凝土造,70年7月30日,三層,一層 二層 三層
RPPNMLMKMHMFFAW66CA,2,80.46,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,二層
RPPNMLMKMHMFFAW66CA,2,6.71,見其他登記事項,鋼筋混凝土造,104年4月28日,三層,
RPQNMLRLLHMFFAW27CA,33,73.60,住家用,鋼筋混凝土造,73年2月18日,一層,一層
RPQNMLRLLHMFFAW27CA,33,73.60,住家用,鋼筋混凝土造,73年2月18日,一層,一層
RPPNMLLKMHMFFAW56CA,1,79.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,四層
RPPNMLLKMHMFFAW56CA,1,6.23,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPPNMLLKMHMFFAW56CA,1,8.80,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPPNMLLKMHMFFAW56CA,1,8.23,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPPNMLRLMHMFFAW27CA,1,99.18,見其他登記事項,鋼筋混凝土造,105年7月28日,三層,二層
RPPNMLRLMHMFFAW27CA,1,10.09,見其他登記事項,鋼筋混凝土造,105年7月28日,三層,
RPUNMLKMLHMFFAW07CA,1,82.13,見其他登記事項,鋼筋混凝土造,105年4月21日,八層,五層
RPUNMLKMLHMFFAW07CA,1,23.97,見其他登記事項,鋼筋混凝土造,105年4月21日,八層,
RPUNMLKMLHMFFAW07CA,1,19.89,見其他登記事項,鋼筋混凝土造,105年4月21日,八層,
RPUNMLKMLHMFFAW07CA,1,.00,見其他登記事項,鋼筋混凝土造,105年4月21日,八層,八層
RPVNMLRKMHMFFAW77CA,3,71.46,見其他登記事項,鋼筋混凝土造,103年1月10日,三層,一層
RPVNMLRKMHMFFAW77CA,3,4.03,見其他登記事項,鋼筋混凝土造,103年1月10日,三層,
RPSNMLMLMHMFFAW07CA,,92.27,見其他登記事項,鋼筋混凝土造,105年12月12日,三層,一層
RPSNMLMLMHMFFAW07CA,,8.82,見其他登記事項,鋼筋混凝土造,105年12月12日,三層,
RPTNMLMLMHMFFAW17CA,,55.40,見其他登記事項,鋼筋混凝土造,105年12月12日,三層,三層
RPTNMLMLMHMFFAW17CA,,5.00,見其他登記事項,鋼筋混凝土造,105年12月12日,三層,
