¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
°¨¤½¥«,«Øª«,¼ê´ò¿¤°¨¤½¥««á¸]¼æ1~30¸¹,0.0,,,,1060111,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0630916,97.38,4,1,1,¦³,µL,500000,5135,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLQJKHMFFAX96DA
°¨¤½¥«,¤g¦a,¤å¥Û¬q1471~1500¦a¸¹,818.22,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1051231,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11000000,13444,,0.0,0,,RPRNMLKMLHMFFAX96DA
¥Õ¨F¶m,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤¥Õ¨F¶m¨ª®r1~30¸¹,157.93,,¤@¯ë¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1060118,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0940218,164.07,4,2,3,¦³,µL,3552000,21649,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLLLLHMFFAX76DA
´ò¦è¶m,¤g¦a,¦y¤s«n¬q361~390¦a¸¹,1395.61,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1060313,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1814293,1300,,0.0,0,,RPQNMLLLLHMFFAX86DA
°¨¤½¥«,¤g¦a,­·ÂdªF¬q1051~1080¦a¸¹,109.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060309,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,264000,2422,,0.0,0,,RPQNMLMLLHMFFAX96DA
°¨¤½¥«,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤°¨¤½¥«ªF½Ã1~30¸¹,380.77,,¤@¯ë¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1060307,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0941114,256.21,5,1,4,¦³,µL,13500000,52691,,0.0,0,,RPSNMLKLLHMFFAX86CA
°¨¤½¥«,¤g¦a,®ü³ö¬q901~930¦a¸¹,336.98,¦í,,,1060222,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4200000,12464,,0.0,0,,RPUNMLKLLHMFFAX07CA
°¨¤½¥«,¤g¦a,­·ÂdªF¬q1051~1080¦a¸¹,116.5,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060309,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,282000,2421,,0.0,0,,RPPNMLMLLHMFFAX76CA
´ò¦è¶m,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤´ò¦è¶m´ä©³91~120¸¹,194.87,,¤@¯ë¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1060222,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950105,186.73,4,3,4,¦³,µL,5600000,29990,,0.0,0,,RPPNMLOLLHMFFAX96CA
°¨¤½¥«,¤g¦a,¤­¼w¦è¬q1~30¦a¸¹,367.69,,­·´º°Ï,¤þºØ«Ø¿v¥Î¦a,1060217,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6469000,17594,,0.0,0,,RPQNMLTLLHMFFAX57CA
