編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQJKHMFFAX96DA,42,97.38,住家用,見其他登記事項,63年9月16日,二層,一層 二層
RPPNMLLLLHMFFAX76DA,12,164.07,住家用,鋼筋混凝土造,94年2月18日,三層,一層 二層 三層
RPSNMLKLLHMFFAX86CA,11,256.21,住家用,加強磚造,94年11月14日,二層,一層 二層
RPPNMLOLLHMFFAX96CA,11,186.73,住家用,鋼筋混凝土造,95年1月5日,三層,一層 二層 三層
RPUNMLMKMHMFFAX37DA,46,222.00,住家用,鋼筋混凝土加強磚造,60年1月1日,三層,一層 二層 三層 電梯樓梯間
RPQNMLSLLHMFFAX57DA,,99.86,住家用,見其他登記事項,,一層,一層
RPPNMLLKMHMFFAX66CA,57,162.74,住家用,見其他登記事項,49年6月1日,二層,一層 二層
RPTNMLRJMHMFFAX57CA,19,165.34,住家用,加強磚造,86年9月27日,二層,一層 二層 電梯樓梯間
RPRNMLMKMHMFFAX96CA,43,76.80,住家用,鋼筋混凝土加強磚造,63年6月22日,二層,一層 二層
RPQNMLKKMHMFFAX66CA,6,422.07,住家用,鋼筋混凝土造,100年1月4日,三層,一層 二層 三層
